선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
신흥,2021,26,내항,출항,575,2021-05-06 14:45,2021-05-07 03:45,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
GIANT SAMBU,2021,6,외항,입항,"5,598",2021-05-06 18:50,2021-05-07 10:10,7부두 01,CAOJING,SAKAI,케미칼 운반선,22,N,N
NURI CHEMIST,2021,6,외항,출항,"2,583",2021-05-06 19:30,2021-05-07 21:50,6부두 04,UBE,ZHENJIANG PT,석유제품 운반선,11,N,N
태진,2021,32,내항,출항,743,2021-05-06 19:35,2021-05-07 11:08,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
103동성호,2021,33,내항,출항,498,2021-05-06 20:00,2021-05-07 16:35,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
송양1호,2021,45,내항,출항,"1,200",2021-05-06 23:40,2021-05-07 22:30,SK2부두 01,부산,광양,석유제품 운반선,11,N,N
스카이케미,2021,32,내항,입항,"1,772",2021-05-06 23:40,2021-05-07 14:50,SK1부두 12,여천항,부산,석유제품 운반선,11,N,N
스카이케미,2021,32,내항,출항,"1,772",2021-05-06 23:40,2021-05-07 14:50,SK1부두 12,여천항,부산,석유제품 운반선,11,N,N
XIN CHANG HE,2021,1,외항,출항,"5,520",2021-05-07 00:45,2021-05-12 11:55,2부두 02,광양,LAIZHOU,일반화물선,19,N,N
유진호,2021,2,내항,출항,268,2021-05-07 01:15,2021-05-07 16:45,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
209현대호,2021,26,내항,출항,320,2021-05-07 02:40,2021-05-07 19:30,SK2부두 02,부산,여수,석유제품 운반선,11,Y,N
유성,2021,52,내항,출항,"1,998",2021-05-07 04:45,2021-05-08 06:50,SK2부두 01,마산,동해,석유제품 운반선,11,Y,Y
CRANE NOVA,2021,5,외항,출항,"4,890",2021-05-07 05:55,2021-05-10 09:55,SK5부두,ZHAPU,DALIAN,석유제품 운반선,11,Y,Y
BIZEN,2021,1,외항,출항,"5,691",2021-05-07 06:00,2021-05-22 02:10,2부두 01,TIANJIN,SINGAPORE,일반화물선,19,N,N
FAIRY ISLAND,2021,1,외항,입항,"12,327",2021-05-07 07:35,2021-05-11 12:35,8부두 01,SINGAPORE,MITSUKOSHIMA,산물선(벌크선),10,N,N
FAIRY ISLAND,2021,1,외항,출항,"12,327",2021-05-07 07:35,2021-05-11 12:35,8부두 01,NAKHODKA,MITSUKOSHIMA,산물선(벌크선),10,N,N
12청경호,2021,20,내항,출항,320,2021-05-07 08:00,2021-05-07 22:50,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
SUN GAS,2021,9,외항,입항,"3,185",2021-05-07 09:42,2021-05-08 09:24,3부두 02,OCEAN DISTRICT,JIANGYIN PT,LPG 운반선,2,N,N
SUN GAS,2021,9,외항,출항,"3,185",2021-05-07 09:42,2021-05-08 09:24,3부두 02,울산,JIANGYIN PT,LPG 운반선,2,N,N
AL BARRAH,2021,2,외항,출항,"23,999",2021-05-07 09:48,2021-05-10 06:15,2부두 02,JUBAIL,AL FUJAYRAH,LPG 운반선,2,N,N
7보광호,2021,18,내항,출항,323,2021-05-07 14:10,2021-05-08 01:30,SK2부두 01,여수,부산,석유제품 운반선,11,N,N
삼표3,2021,2,내항,출항,"5,459",2021-05-07 15:24,2021-05-07 21:30,2부두 03,삼척,삼척,시멘트운반선,14,N,N
삼표3,2021,2,내항,입항,"5,459",2021-05-07 15:24,2021-05-07 21:30,2부두 03,삼척,삼척,시멘트운반선,14,N,N
삼원썬,2021,31,내항,입항,999,2021-05-07 16:20,2021-05-08 06:00,SK1부두 12,여천항,부산,석유제품 운반선,11,Y,Y
삼원썬,2021,31,내항,출항,999,2021-05-07 16:20,2021-05-08 06:00,SK1부두 12,여천항,부산,석유제품 운반선,11,Y,Y
7유천호,2021,3,내항,입항,199,2021-05-07 16:50,2021-05-11 14:40,7부두 01,부산,부산,석유제품 운반선,11,N,N
제1한미르호,2021,33,내항,출항,"1,941",2021-05-07 18:40,2021-05-09 17:00,SK2부두 01,동해,부산,석유제품 운반선,11,N,N
STO VIOLET,2021,15,외항,출항,497,2021-05-07 19:25,2021-05-11 15:54,일반부두 06,SAKAIDE,SAKAIDE,케미칼 운반선,22,Y,Y
12삼부호,2021,39,내항,출항,299,2021-05-07 20:50,2021-05-09 04:10,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,Y,Y
207현대,2021,19,내항,출항,535,2021-05-07 21:30,2021-05-08 03:25,SK2부두 01,여천항,마산,석유제품 운반선,11,Y,Y
20청우호,2021,9,내항,출항,299,2021-05-07 21:50,2021-05-08 03:40,SK2부두 02,여수,여수,급유선,5,Y,Y
SUN EDELWEISS,2021,13,외항,출항,"3,595",2021-05-07 22:40,2021-05-09 11:30,6부두 03,OSAKA,울산,케미칼 운반선,22,Y,Y
SUN EDELWEISS,2021,13,외항,입항,"3,595",2021-05-07 22:40,2021-05-09 11:30,9부두 01,OSAKA,울산,케미칼 운반선,22,Y,Y
KEOYOUNG STAR 3,2021,10,외항,출항,"1,826",2021-05-08 00:50,2021-05-08 22:55,4부두 01,"NANYO, YAMAGUCHI",여수,케미칼 운반선,22,Y,Y
SILVER ATLAS,2021,4,외항,출항,"5,551",2021-05-08 04:15,2021-05-09 11:54,9부두 01,KOBE,HUIZHOU PT,케미칼 운반선,22,Y,Y
SILVER ATLAS,2021,4,외항,입항,"5,551",2021-05-08 04:15,2021-05-09 11:54,SK3부두,KOBE,HUIZHOU PT,케미칼 운반선,22,Y,Y
POHANG PIONEER,2021,5,외항,출항,"5,422",2021-05-08 04:50,2021-05-13 20:00,가스부두,TIANJIN,여수,석유제품 운반선,11,Y,Y
UNION GAS,2021,24,내항,출항,999,2021-05-08 05:05,2021-05-08 11:10,가스부두,부산,제주,LPG 운반선,2,Y,Y
UNION GAS,2021,24,내항,입항,999,2021-05-08 05:05,2021-05-08 11:10,가스부두,부산,제주,LPG 운반선,2,Y,Y
BLACK PEARL,2021,4,외항,출항,"5,637",2021-05-08 06:10,2021-05-12 12:05,SK2부두 01,LANSHAN PT,LANSHAN PT,석유제품 운반선,11,N,N
SUN VENUS,2021,20,외항,입항,"4,543",2021-05-08 06:55,2021-05-10 10:12,염포부두 02,MIZUSHIMA,MIZUSHIMA,석유제품 운반선,11,N,N
PRESTIGE ACE,2021,1,외항,출항,"55,878",2021-05-08 07:15,2021-05-08 20:00,자동차부두 01,마산,LYTTELTON,자동차운반선,20,Y,Y
PRESTIGE ACE,2021,1,외항,입항,"55,878",2021-05-08 07:15,2021-05-08 20:00,자동차부두 01,마산,LYTTELTON,자동차운반선,20,Y,Y
BBC EMSLAND,2021,1,외항,출항,"7,878",2021-05-08 07:20,2021-05-10 20:45,7부두 01,SHANGHAI,PORTANGELES,일반화물선,19,Y,Y
BBC EMSLAND,2021,1,외항,입항,"7,878",2021-05-08 07:20,2021-05-10 20:45,7부두 01,SHANGHAI,PORTANGELES,일반화물선,19,Y,Y
GINGA PHOENIX,2021,6,외항,출항,"3,376",2021-05-08 07:25,2021-05-08 18:10,6부두 04,KOBE,평택.당진,케미칼 운반선,22,Y,N
INCHEON CHEMI,2021,3,외항,출항,"5,510",2021-05-08 07:40,2021-05-09 06:10,6부두 04,ZHANGJIAGANG,ZHANGJIAGANG,케미칼 운반선,22,Y,N
SILVER HEBA,2021,1,외항,출항,"29,375",2021-05-08 07:40,2021-05-09 14:40,SK7부두,BATANGAS/LUZON,LAIZHOU,석유제품 운반선,11,Y,Y
SILVER HEBA,2021,1,외항,입항,"29,375",2021-05-08 07:40,2021-05-09 14:40,SK7부두,BATANGAS/LUZON,LAIZHOU,석유제품 운반선,11,Y,N
BOW EXCELLENCE,2021,2,외항,출항,"29,627",2021-05-08 08:00,2021-05-21 00:15,SK3부두,울산,ZHANGJIAGANG,케미칼 운반선,22,Y,Y
CORSAIR,2021,1,외항,입항,"48,060",2021-05-08 08:12,2021-05-10 14:12,SK6부두,CRISTOBAL,BALBOA,LPG 운반선,2,Y,Y
LARGO DESERT,2021,1,외항,출항,"29,463",2021-05-08 08:24,2021-05-12 03:45,SK7부두,여수,ZHOUSHAN PT,석유제품 운반선,11,N,N
SCF SHANGHAI,2021,1,외항,입항,"167,578",2021-05-08 09:50,2021-05-09 16:12,SK부이 02,SINGAPORE,DJENO TERMINAL,원유운반선,18,N,N
SCF SHANGHAI,2021,1,외항,출항,"167,578",2021-05-08 09:50,2021-05-09 16:12,SK부이 02,RIZHAO PT,DJENO TERMINAL,원유운반선,18,Y,Y
17유성호,2021,21,내항,출항,438,2021-05-08 10:10,2021-05-08 13:35,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
17유성호,2021,21,내항,입항,438,2021-05-08 10:10,2021-05-08 13:35,SK2부두 01,부산,부산,석유제품 운반선,11,Y,N
GRACE ALPHA,2021,10,내항,출항,"2,676",2021-05-08 10:20,2021-05-09 02:50,3부두 02,여수,여수,석유제품 운반선,11,Y,N
GRACE ALPHA,2021,10,내항,입항,"2,676",2021-05-08 10:20,2021-05-09 02:50,3부두 02,여수,여수,석유제품 운반선,11,Y,Y
진성호,2021,44,내항,입항,777,2021-05-08 10:25,2021-05-08 14:00,SK2부두 02,여수,부산,석유제품 운반선,11,Y,Y
진성호,2021,44,내항,출항,777,2021-05-08 10:25,2021-05-08 14:00,SK2부두 02,여수,부산,석유제품 운반선,11,Y,Y
KEOYOUNG PIONEER,2021,4,외항,입항,"2,210",2021-05-08 11:15,2021-05-11 13:50,일반부두 07,SHIMIZU,OSAKA,석유제품 운반선,11,Y,Y
KEOYOUNG PIONEER,2021,4,외항,출항,"2,210",2021-05-08 11:15,2021-05-11 13:50,4부두 01,SHIMIZU,OSAKA,석유제품 운반선,11,N,N
WOO CHOON,2021,13,내항,입항,"3,969",2021-05-08 11:45,2021-05-09 10:00,UTT부두,여수,여수,석유제품 운반선,11,N,N
송양1호,2021,46,내항,출항,"1,200",2021-05-08 11:51,2021-05-09 04:05,SK2부두 01,제주,부산,석유제품 운반선,11,Y,N
SUN GAS,2021,10,외항,입항,"3,185",2021-05-08 13:10,2021-05-09 04:30,일반부두 08,OCEAN DISTRICT,울산,LPG 운반선,2,Y,N
SUN GAS,2021,10,외항,출항,"3,185",2021-05-08 13:10,2021-05-09 04:30,일반부두 08,부산,울산,LPG 운반선,2,Y,Y
XI YUAN,2021,1,외항,출항,"1,998",2021-05-08 13:35,2021-05-11 16:00,4부두 02,포항,ZHANGJIAGANG,일반화물선,19,Y,Y
한유비전,2021,23,내항,출항,999,2021-05-08 17:35,2021-05-09 21:30,SK5부두,광양,군산,석유제품 운반선,11,Y,N
103동성호,2021,34,내항,입항,498,2021-05-08 17:50,2021-05-08 21:40,SK2부두 02,부산,부산,석유제품 운반선,11,Y,N
103동성호,2021,34,내항,출항,498,2021-05-08 17:50,2021-05-08 21:40,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
진양1호,2021,45,내항,출항,"1,995",2021-05-08 18:20,2021-05-11 01:35,SK2부두 01,마산,부산,석유제품 운반선,11,N,N
천진호,2021,39,내항,출항,753,2021-05-08 20:10,2021-05-11 05:35,SK2부두 02,기타항,부산,석유제품 운반선,11,Y,Y
PACIFIC SAMBU,2021,11,외항,입항,"2,403",2021-05-08 22:30,2021-05-09 15:40,일반부두 07,LIANYUNGANG,KAWASAKI,석유제품 운반선,11,Y,Y
한동20호,2021,42,내항,출항,"1,502",2021-05-09 01:20,2021-05-10 01:20,SK2부두 01,제주,제주,석유제품 운반선,11,Y,Y
디엘 루비,2021,11,내항,입항,"6,716",2021-05-09 02:05,2021-05-09 19:40,SK5부두,부산,부산,석유제품 운반선,11,Y,Y
디엘 루비,2021,11,내항,출항,"6,716",2021-05-09 02:05,2021-05-09 19:40,SK5부두,부산,부산,석유제품 운반선,11,N,N
DAEWON,2021,2,외항,출항,"9,599",2021-05-09 02:55,2021-05-13 06:10,염포부두 01,부산,TAIXING,케미칼 운반선,22,N,N
유성,2021,53,내항,출항,"1,998",2021-05-09 03:40,2021-05-11 18:30,SK2부두 01,마산,마산,석유제품 운반선,11,N,N
GINGA LEOPARD,2021,2,외항,출항,"16,222",2021-05-09 04:10,2021-05-11 19:35,염포부두 02,울산,DONGGUAN PT,석유제품 운반선,11,Y,N
KASHIMA MARU NO.10,2021,7,외항,입항,"1,357",2021-05-09 07:30,2021-05-09 13:15,가스부두,NIIHAMA,MIZUSHIMA,LPG 운반선,2,Y,Y
KASHIMA MARU NO.10,2021,7,외항,출항,"1,357",2021-05-09 07:30,2021-05-09 13:15,가스부두,NIIHAMA,MIZUSHIMA,LPG 운반선,2,Y,Y
스카이케미,2021,33,내항,입항,"1,772",2021-05-09 07:50,2021-05-10 00:30,SK1부두 12,여천항,여천항,석유제품 운반선,11,N,N
스카이케미,2021,33,내항,출항,"1,772",2021-05-09 07:50,2021-05-10 00:30,SK1부두 12,여천항,여천항,석유제품 운반선,11,N,N
SUNRISE SAMBU,2021,11,외항,입항,"2,403",2021-05-09 09:15,2021-05-10 12:05,일반부두 08,여수,ZHANGJIAGANG,케미칼 운반선,22,Y,N
LADY MARGAUX,2021,1,외항,입항,"3,516",2021-05-09 09:25,2021-05-10 22:00,3부두 02,여수,TOKUYAMA,LPG 운반선,2,Y,N
LADY MARGAUX,2021,1,외항,출항,"3,516",2021-05-09 09:25,2021-05-10 22:00,3부두 02,여수,TOKUYAMA,LPG 운반선,2,N,N
SONGA  WINDS,2021,1,외항,입항,"11,773",2021-05-09 09:50,2021-05-13 08:10,SK3부두,평택.당진,평택.당진,석유제품 운반선,11,N,N
디엘 제이드,2021,10,내항,출항,"5,199",2021-05-09 10:20,2021-05-11 06:30,SK5부두,부산,인천,석유제품 운반선,11,N,N
SUNDA,2021,1,외항,출항,"44,400",2021-05-09 13:30,2021-05-14 15:35,SK6부두,여수,"NAGOYA, AICHI",석유제품 운반선,11,N,N
FAIRCHEM HAWK,2021,1,외항,출항,"12,188",2021-05-09 13:42,2021-05-10 14:35,4부두 01,SAKAI,여수,석유제품 운반선,11,N,N
POSITIVE PIONEER,2021,2,외항,입항,"43,810",2021-05-09 14:45,2021-05-10 15:00,6부두 02,SUBIC BAY,YOKOHAMA,자동차운반선,20,N,N
POSITIVE PIONEER,2021,2,외항,출항,"43,810",2021-05-09 14:45,2021-05-10 15:00,6부두 02,SUBIC BAY,YOKOHAMA,자동차운반선,20,N,N
MORNING CINDY,2021,2,외항,출항,"59,580",2021-05-09 16:06,2021-05-12 19:30,자동차부두 02,목포,SINGAPORE,자동차운반선,20,N,N
MORNING CINDY,2021,2,외항,입항,"59,580",2021-05-09 16:06,2021-05-12 19:30,자동차부두 02,목포,SINGAPORE,자동차운반선,20,Y,N
SKY PHOENIX,2021,15,외항,출항,"2,690",2021-05-09 16:35,2021-05-10 16:40,2부두 03,MITAJIRI,평택.당진,케미칼 운반선,22,Y,N
KEOYOUNG STAR,2021,7,외항,입항,"1,530",2021-05-09 17:00,2021-05-10 07:20,가스부두,YOKOHAMA,평택.당진,케미칼 운반선,22,N,N
건양호,2021,38,내항,출항,532,2021-05-09 21:05,2021-05-10 02:45,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
PACIFIC SAMBU,2021,12,외항,출항,"2,403",2021-05-09 21:30,2021-05-11 06:00,4부두 02,LIANYUNGANG,기타항,석유제품 운반선,11,N,N
103동성호,2021,35,내항,출항,498,2021-05-09 23:05,2021-05-10 03:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
103동성호,2021,35,내항,입항,498,2021-05-09 23:05,2021-05-10 03:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
12삼부호,2021,40,내항,출항,299,2021-05-09 23:40,2021-05-10 05:20,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,N,N
WOOLIM 7,2021,10,내항,출항,"8,072",2021-05-09 23:40,2021-05-11 11:15,3부두 02,부산,대산,석유제품 운반선,11,Y,Y
EPIC COBRADOR,2021,4,외항,출항,"2,997",2021-05-10 03:12,2021-05-10 07:35,일반부두 07,KAOHSIUNG,여수,케미칼가스 운반선,23,Y,Y
EPIC COBRADOR,2021,4,외항,입항,"2,997",2021-05-10 03:12,2021-05-10 07:35,일반부두 07,KAOHSIUNG,여수,케미칼가스 운반선,23,N,N
NO.7 SJ GAS,2021,2,외항,출항,"2,691",2021-05-10 04:00,2021-05-12 12:10,3부두 02,JIANGYIN PT,NANJING PT,LPG 운반선,2,N,N
금창호,2021,31,내항,출항,999,2021-05-10 07:00,2021-05-10 13:15,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
금창호,2021,31,내항,입항,999,2021-05-10 07:00,2021-05-10 13:15,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
HANSUNG,2021,3,외항,입항,"7,442",2021-05-10 07:30,2021-05-10 12:00,5부두 01,NAKHODKA,QINGDAO PT,자동차운반선,20,Y,Y
HANSUNG,2021,3,외항,출항,"7,442",2021-05-10 07:30,2021-05-10 12:00,5부두 01,NAKHODKA,QINGDAO PT,자동차운반선,20,Y,Y
유진호,2021,3,내항,출항,268,2021-05-10 08:25,2021-05-10 19:00,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
LAKE COMO,2021,2,외항,입항,"47,168",2021-05-10 10:06,2021-05-10 21:30,자동차부두 03,SINGAPORE,인천,자동차운반선,20,N,N
LAKE COMO,2021,2,외항,출항,"47,168",2021-05-10 10:06,2021-05-10 21:30,6부두 02,SINGAPORE,인천,자동차운반선,20,Y,N
EPIC COBRADOR,2021,5,외항,입항,"2,997",2021-05-10 12:54,2021-05-11 16:35,일반부두 07,KAOHSIUNG,울산,케미칼가스 운반선,23,Y,N
EPIC COBRADOR,2021,5,외항,출항,"2,997",2021-05-10 12:54,2021-05-11 16:35,가스부두,KAOHSIUNG,울산,케미칼가스 운반선,23,N,N
HANYU FRONTIER,2021,11,외항,출항,"3,834",2021-05-10 13:15,2021-05-13 12:20,SK1부두 12,ZHENJIANG PT,ZHANGJIAGANG,케미칼 운반선,22,N,N
GAS BROADWAY,2021,10,외항,출항,992,2021-05-10 14:00,2021-05-11 17:35,4부두 02,CHIBA,CHIBA,LPG 운반선,2,N,N
HILKE,2021,1,외항,입항,"11,473",2021-05-10 14:10,2021-05-12 08:10,6부두 04,마산,마산,일반화물선,19,N,N
HILKE,2021,1,외항,출항,"11,473",2021-05-10 14:10,2021-05-12 08:10,6부두 04,SHANGHAI,마산,일반화물선,19,N,N
태진,2021,33,내항,출항,743,2021-05-10 14:55,2021-05-11 01:13,SK2부두 01,광양,부산,석유제품 운반선,11,N,N
금창골드호,2021,22,내항,입항,337,2021-05-10 14:55,2021-05-10 22:10,SK2부두 01,기타항,기타항,석유제품 운반선,11,N,N
금창골드호,2021,22,내항,출항,337,2021-05-10 14:55,2021-05-10 22:10,SK2부두 01,기타항,기타항,석유제품 운반선,11,N,N
CRANE STELLA,2021,4,외항,출항,"4,902",2021-05-10 15:25,2021-05-11 21:05,SK5부두,SAKAIMINATO,MUTSURE,케미칼 운반선,22,N,N
CHLOE V,2021,2,외항,입항,"162,203",2021-05-10 15:48,2021-05-19 07:30,SK부이 02,SINGAPORE,SINGAPORE,원유운반선,18,N,N
부양에이스,2021,17,내항,출항,415,2021-05-10 16:00,2021-05-11 00:35,SK2부두 02,기타항,부산,석유제품 운반선,11,N,N
진성호,2021,45,내항,출항,777,2021-05-10 16:10,2021-05-10 23:30,SK1부두 11,옥포,부산,석유제품 운반선,11,N,N
진성호,2021,45,내항,입항,777,2021-05-10 16:10,2021-05-10 23:30,SK1부두 11,옥포,부산,석유제품 운반선,11,N,N
CHEMWAY GAIA,2021,1,외항,입항,"25,174",2021-05-10 16:20,2021-05-11 20:50,염포부두 02,JIANGYIN PT,SINGAPORE,케미칼 운반선,22,N,N
EPIC CORDOVA,2021,7,외항,출항,"2,997",2021-05-10 16:40,2021-05-12 02:00,가스부두,"KASHIMA, IBARAKI",TAIXING,케미칼가스 운반선,23,Y,N
SUN CROWN,2021,12,외항,출항,"2,999",2021-05-10 17:00,2021-05-11 22:15,가스부두,NANSHA PT,울산,석유제품 운반선,11,Y,N
NEW SILVER,2021,4,외항,출항,"8,504",2021-05-10 18:15,2021-05-12 18:30,8부두 01,여수,평택.당진,케미칼 운반선,22,Y,N
우성,2021,49,내항,출항,"1,998",2021-05-10 19:00,2021-05-12 19:10,SK2부두 01,여수,부산,석유제품 운반선,11,Y,N
YOUNGSAN GAS,2021,18,외항,입항,999,2021-05-10 19:00,2021-05-11 12:10,SK5부두,울산,OITA,케미칼가스 운반선,23,N,N
YOUNGSAN GAS,2021,18,외항,출항,999,2021-05-10 19:00,2021-05-11 12:10,일반부두 08,울산,OITA,케미칼가스 운반선,23,N,N
재원 니케,2021,11,내항,출항,"2,701",2021-05-10 19:50,2021-05-13 12:30,9부두 01,속초,속초,일반화물선,19,Y,Y
SUNNY QUEEN,2021,3,외항,출항,"4,175",2021-05-10 21:00,2021-05-16 06:15,SK2부두 01,IWAKUNI,HACHINOHE,케미칼 운반선,22,Y,Y
3태영호,2021,24,내항,출항,378,2021-05-10 21:50,2021-05-11 03:40,SK2부두 01,포항신항,포항신항,석유제품 운반선,11,Y,Y
MS GAS,2021,15,내항,출항,998,2021-05-11 01:35,2021-05-12 23:25,3부두 02,대산,대산,LPG 운반선,2,Y,Y
SPRING NOTE,2021,11,외항,입항,"2,579",2021-05-11 02:50,2021-05-12 20:24,6부두 03,LANSHAN PT,KAINAN,케미칼 운반선,22,Y,Y
SPRING NOTE,2021,11,외항,출항,"2,579",2021-05-11 02:50,2021-05-12 20:24,7부두 01,LANSHAN PT,KAINAN,케미칼 운반선,22,Y,Y
대진8006,2021,2,내항,입항,411,2021-05-11 05:10,2021-05-11 14:30,9부두 01,기타항,기타항,압항 예선,16,Y,Y
대진8006,2021,2,내항,출항,411,2021-05-11 05:10,2021-05-11 14:30,9부두 01,기타항,기타항,압항 예선,16,Y,Y
스카이케미,2021,34,내항,출항,"1,772",2021-05-11 05:35,2021-05-12 09:30,SK1부두 12,여천항,여천항,석유제품 운반선,11,Y,Y
한유비전,2021,24,내항,출항,999,2021-05-11 06:30,2021-05-13 00:20,SK5부두,여수,광양,석유제품 운반선,11,Y,Y
건양호,2021,39,내항,출항,532,2021-05-11 07:10,2021-05-11 13:05,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
CSAV RIO NEVADO,2021,2,외항,입항,"46,800",2021-05-11 07:18,2021-05-12 20:55,자동차부두 01,광양,PORTHUENEME,자동차운반선,20,Y,Y
CSAV RIO NEVADO,2021,2,외항,출항,"46,800",2021-05-11 07:18,2021-05-12 20:55,자동차부두 01,광양,PORTHUENEME,자동차운반선,20,Y,N
BW CONFIDENCE,2021,1,외항,입항,"48,772",2021-05-11 07:30,2021-05-13 17:00,SK6부두,CRISTOBAL,CRISTOBAL,LPG 운반선,2,Y,N
제1한미르호,2021,34,내항,출항,"1,941",2021-05-11 10:10,2021-05-11 17:40,SK5부두,평택.당진,동해,석유제품 운반선,11,N,N
제1한미르호,2021,34,내항,입항,"1,941",2021-05-11 10:10,2021-05-11 17:40,SK5부두,부산,동해,석유제품 운반선,11,N,N
NO.2 GREEN PIONEER,2021,7,내항,출항,"2,193",2021-05-11 10:12,2021-05-13 08:55,4부두 01,여수,여수,케미칼 운반선,22,Y,Y
BLACK JADE,2021,5,외항,출항,"5,680",2021-05-11 11:20,2021-05-21 14:05,SK2부두 01,TIANJIN,LANSHAN PT,석유제품 운반선,11,Y,Y
ANGEL BLUE,2021,26,외항,출항,"1,637",2021-05-11 14:40,2021-05-13 00:30,SK1부두 11,MIHARA,MIHARA,석유제품 운반선,11,N,N
YOUNGSAN GAS,2021,19,외항,입항,999,2021-05-11 14:50,2021-05-12 12:40,일반부두 08,울산,울산,케미칼가스 운반선,23,N,N
YOUNGSAN GAS,2021,19,외항,출항,999,2021-05-11 14:50,2021-05-12 12:40,가스부두,울산,울산,케미칼가스 운반선,23,Y,Y
GALAXY SEA,2021,1,외항,입항,"4,329",2021-05-11 17:15,2021-05-13 20:30,1부두 01,SINGAPORE,QINGDAO,일반화물선,19,Y,Y
GALAXY SEA,2021,1,외항,출항,"4,329",2021-05-11 17:15,2021-05-13 20:30,1부두 01,NAKHODKA,QINGDAO,일반화물선,19,Y,Y
HANYU DREAM,2021,20,내항,출항,"2,114",2021-05-11 19:00,2021-05-15 00:55,SK2부두 01,인천,인천,석유제품 운반선,11,Y,Y
HANYU DREAM,2021,20,내항,입항,"2,114",2021-05-11 19:00,2021-05-15 00:55,일반부두 07,인천,인천,석유제품 운반선,11,Y,Y
SEONGHO PIOCE,2021,5,외항,출항,"3,586",2021-05-11 20:00,2021-05-12 18:45,2부두 03,CHIBA,KIKUMA,석유제품 운반선,11,Y,Y
DL ZINNIA,2021,6,외항,출항,"4,488",2021-05-11 22:10,2021-05-13 06:20,가스부두,NINGBO,VUNG TAU,LPG 운반선,2,Y,Y
진양1호,2021,46,내항,출항,"1,995",2021-05-11 23:30,2021-05-13 22:20,SK2부두 01,마산,마산,석유제품 운반선,11,Y,Y
진성호,2021,46,내항,입항,777,2021-05-11 23:50,2021-05-12 18:50,SK2부두 02,광양,옥포,석유제품 운반선,11,Y,Y
3동주,2021,60,내항,출항,700,2021-05-12 02:30,2021-05-14 19:15,SK2부두 02,광양,동해,석유제품 운반선,11,Y,Y
BOW DALIAN,2021,5,외항,출항,"6,583",2021-05-12 02:48,2021-05-12 19:25,6부두 03,울산,부산,석유제품 운반선,11,N,N
GRACE SAMBU,2021,18,외항,입항,"1,755",2021-05-12 07:10,2021-05-14 11:00,7부두 01,MAI-LIAO,MIZUSHIMA,케미칼 운반선,22,N,N
MORNING LILY,2021,1,외항,입항,"70,853",2021-05-12 07:12,2021-05-14 12:00,자동차부두 03,광양,평택.당진,자동차운반선,20,Y,N
MORNING LILY,2021,1,외항,출항,"70,853",2021-05-12 07:12,2021-05-14 12:00,6부두 02,광양,평택.당진,자동차운반선,20,Y,N
32대영호,2021,16,내항,출항,200,2021-05-12 09:35,2021-05-12 15:10,SK2부두 01,부산,부산,급유선,5,Y,N
GRANDSEA,2021,1,외항,출항,"3,836",2021-05-12 10:15,2021-05-17 17:00,2부두 01,TIANJIN XINGANG PT,LONGKOU PT,일반화물선,19,Y,N
TRITON,2021,16,내항,입항,"2,041",2021-05-12 10:50,2021-05-13 11:25,일반부두 08,군산,제주,석유제품 운반선,11,N,N
한동20호,2021,43,내항,출항,"1,502",2021-05-12 11:50,2021-05-13 05:10,SK2부두 01,진해,제주,석유제품 운반선,11,Y,Y
3동명호,2021,25,내항,출항,454,2021-05-12 11:55,2021-05-12 16:10,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
3동명호,2021,25,내항,입항,454,2021-05-12 11:55,2021-05-12 16:10,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
NEW SKY,2021,12,내항,출항,"4,060",2021-05-12 12:00,2021-05-14 13:05,SK1부두 11,대산,대산,석유제품 운반선,11,N,N
MH SAKURA,2021,5,외항,출항,"4,241",2021-05-12 13:24,2021-05-15 01:05,가스부두,TAIXING,ZHAPU,LPG 운반선,2,N,N
YOUNGSAN GAS,2021,20,외항,입항,999,2021-05-12 15:40,2021-05-12 19:45,가스부두,NIIHAMA,울산,케미칼가스 운반선,23,Y,Y
YOUNGSAN GAS,2021,20,외항,출항,999,2021-05-12 15:40,2021-05-12 19:45,가스부두,NIIHAMA,울산,케미칼가스 운반선,23,Y,Y
한일5002,2021,1,내항,출항,155,2021-05-12 17:10,2021-05-13 16:15,염포부두 01,영일만항,영일만항,기타 예선,6,N,N
